,Dataset,Simple VQC Train Score,Simple VQC Test Score,Simple VQC Train Time (seconds),Complex VQC Train Score,Complex VQC Test Score,Complex VQC Train Time (seconds)
0,MNIST-2,0.6888888888888889,0.7,101.3872971534729,0.7,0.7,110.81654262542725
1,Fashion-MNIST-2,0.8666666666666667,0.8,92.06534099578857,0.7666666666666667,0.7,111.03175163269043
2,Fashion-MNIST-3,0.5481481481481482,0.4,122.46649384498596,0.5777777777777777,0.3333333333333333,166.5994827747345
3,Syn-Dataset-4,0.7111111111111111,0.5,112.19447469711304,0.7444444444444445,0.7,115.65604948997498
