,Dataset,Simple ANN Train Accuracy,Simple ANN Test Accuracy,Simple ANN Train Time,Complex ANN Train Accuracy,Complex ANN Test Accuracy,Complex ANN Train Time
0,MNIST-2,0.5444444444444444,0.6,3.004617214202881,0.7777777777777778,0.9,2.9391682147979736
1,Fashion-MNIST-2,0.8111111111111111,0.9,1.467740774154663,0.8777777777777778,1.0,2.67230486869812
2,Fashion-MNIST-3,0.37037037037037035,0.0,2.236243724822998,0.562962962962963,0.4666666666666667,3.072333335876465
3,Synthetic-4,0.5,0.4,1.3394114971160889,0.9555555555555556,0.8,2.168511152267456
