,Dataset,Simple ANN Train Accuracy,Simple ANN Test Accuracy,Simple ANN Train Time,Complex ANN Train Accuracy,Complex ANN Test Accuracy,Complex ANN Train Time
0,MNIST-2,0.5444444444444444,0.6,2.8750178813934326,0.7666666666666667,0.9,4.1897993087768555
1,Fashion-MNIST-2,0.7777777777777778,0.8,2.5208890438079834,0.9222222222222223,0.9,3.9199488162994385
2,Fashion-MNIST-3,0.4888888888888889,0.2,3.1010260581970215,0.6074074074074074,0.4666666666666667,5.562331438064575
3,Synthetic-4,0.5666666666666667,0.4,2.098238468170166,0.9555555555555556,0.8,3.513808488845825
