,Dataset,Naive Bayes Training Score,Naive Bayes Testing Score,Naive Bayes Training Time,SVM Training Score,SVM Testing Score,SVM Training Time
0,MNIST-2,0.7444444444444445,0.7,0.0019273757934570312,0.7444444444444445,0.8,0.0022864341735839844
1,Fashion-MNIST-2,0.7666666666666667,0.8,0.0013480186462402344,0.8777777777777778,1.0,0.002705097198486328
2,Fashion-MNIST-3,0.5851851851851851,0.6,0.002907276153564453,0.6888888888888889,0.8,0.004846334457397461
3,Synthetic-4,0.8555555555555555,0.7,0.0015761852264404297,0.8777777777777778,0.8,0.001972198486328125
